Area/Promedio,dp(a)
0.470187,0.676241
0.7087,0.891945
0.220856,0.189999
0.324831,0.398816
0.807353,0.888717
0.85402,0.872787
0.555724,0.793003
0.277399,0.300271
0.445407,0.634758
1.84118,0.168625
0.758877,0.89598
0.283359,0.312503
0.422961,0.594608
0.96948,0.804537
0.805326,0.88922
0.886163,0.857446
0.597558,0.833997
0.937002,0.827125
0.562832,0.800729
0.573578,0.811818
0.299616,0.346177
0.799978,0.890469
0.490096,0.70721
0.783137,0.893622
0.853488,0.873013
1.01107,0.772722
1.23848,0.571871
0.431042,0.609328
0.739875,0.89592
1.34025,0.482381
0.816482,0.886246
0.593334,0.830347
0.612439,0.845983
0.643508,0.866688
0.428118,0.604035
1.69969,0.23363
1.65465,0.258099
0.558653,0.796225
0.869677,0.865723
0.49859,0.719747
0.271624,0.288493
1.02249,0.763517
1.50656,0.352276
0.30382,0.354934
0.304357,0.356054
0.638227,0.863576
1.01771,0.767392
1.07717,0.717312
0.819941,0.885224
0.27996,0.305518
0.373508,0.499044
1.16119,0.642104
1.93163,0.135603
1.19374,0.612458
0.271201,0.287632
0.533214,0.766489
0.713762,0.89293
0.414758,0.579382
0.424291,0.597051
1.19833,0.608281
0.790666,0.892361
0.619514,0.851208
0.274374,0.294091
1.30028,0.516874
1.07427,0.719831
0.40624,0.563282
1.30283,0.514645
0.54565,0.78152
0.965075,0.807728
0.975622,0.800027
0.665147,0.877734
1.81225,0.180529
0.777029,0.894464
0.969678,0.804393
0.34773,0.446424
1.01303,0.771159
0.927463,0.833317
0.164571,0.0984596
1.32233,0.497722
0.937482,0.826808
2.12129,0.0841074
0.218134,0.185063
1.20413,0.603004
2.36942,0.0434419
0.10428,0.0318814
1.44714,0.395985
0.663681,0.877071
1.23168,0.578009
0.259841,0.264741
0.769459,0.895278
0.570908,0.809131
0.60417,0.83949
0.580917,0.818983
0.780256,0.894039
0.171918,0.108994
0.529482,0.761794
0.503288,0.726504
1.20557,0.601691
1.72996,0.218248
0.966057,0.807019
0.434494,0.615527
0.593495,0.830488
1.31689,0.502414
0.324785,0.398719
0.51516,0.743003
0.32406,0.397206
0.585191,0.823002
0.525606,0.756831
0.597652,0.834077
0.415274,0.580347
0.910185,0.843965
0.258933,0.262928
0.353489,0.458293
0.443772,0.631913
0.638974,0.864026
0.307489,0.362589
0.419582,0.588369
1.58996,0.296623
1.23143,0.578236
0.544793,0.780515
0.276457,0.298343
0.442069,0.628936
0.679849,0.883705
0.370424,0.492826
0.578979,0.817123
0.594761,0.831592
0.956397,0.813901
1.76014,0.20373
0.318172,0.384904
1.12084,0.678611
0.329204,0.407941
0.522847,0.753242
0.834853,0.8803
0.622599,0.853393
0.430604,0.608537
1.11406,0.684693
0.992574,0.787226
1.33138,0.48995
0.719159,0.893833
0.356747,0.464983
1.00806,0.775116
1.52987,0.336043
0.407152,0.565019
0.721557,0.894186
0.534725,0.768365
1.40438,0.429419
1.5487,0.323313
0.62497,0.855032
1.60163,0.289374
0.340885,0.432249
0.623102,0.853743
1.40542,0.428593
0.436327,0.618796
0.707555,0.891703
0.77246,0.894986
0.592791,0.82987
0.718325,0.893703
1.7755,0.196648
1.55245,0.32082
1.24904,0.562363
0.66043,0.875557
0.762656,0.895789
0.520963,0.750765
0.35557,0.462567
1.48814,0.365472
0.583618,0.821536
0.649585,0.870066
0.716226,0.893361
1.01018,0.773431
0.576505,0.814716
1.01101,0.772767
0.537365,0.771611
0.698485,0.889544
1.19509,0.611232
0.552909,0.789857
0.654074,0.872422
0.64292,0.866349
0.19283,0.141459
0.488307,0.704518
0.418507,0.586375
0.499344,0.72084
1.13897,0.662269
0.529322,0.761592
0.72084,0.894083
0.563739,0.801693
0.444735,0.63359
0.453148,0.648053
0.418984,0.587261
0.370457,0.492894
1.50128,0.356026
1.01527,0.769359
0.950871,0.817752
0.347897,0.446767
0.752297,0.896155
2.06755,0.0965508
0.986535,0.791844
0.781683,0.893837
1.04173,0.747626
0.570305,0.808517
0.642794,0.866277
0.656769,0.87378
0.323249,0.395512
0.885658,0.857712
1.06662,0.726454
1.18629,0.619246
0.784335,0.893437
0.708086,0.891816
0.456173,0.653167
2.05469,0.099763
0.655124,0.872956
1.43293,0.406923
0.884273,0.858437
1.0962,0.700586
0.347146,0.445215
1.24391,0.566976
1.6144,0.281593
1.34311,0.479955
0.293496,0.333457
0.374462,0.500963
0.68517,0.885567
0.959273,0.811872
1.24824,0.563073
0.578138,0.81631
0.603035,0.838566
1.16219,0.641192
1.12087,0.678583
0.534396,0.767958
0.503756,0.727169
0.945707,0.821291
1.4555,0.389638
0.990078,0.789143
1.33147,0.489869
0.342212,0.435002
0.419956,0.589063
0.833959,0.880618
1.0628,0.729741
1.86982,0.157499
1.49746,0.358755
0.551167,0.787886
0.470565,0.67685
0.792304,0.892054
0.638296,0.863618
0.350297,0.451721
0.896114,0.852058
0.824261,0.883883
0.797719,0.890961
1.47382,0.375955
1.27591,0.538351
0.942182,0.823674
1.18242,0.622774
0.959976,0.811374
0.574227,0.812465
0.329947,0.409491
1.60721,0.285955
0.23574,0.217704
0.997311,0.783563
0.372206,0.496422
0.899102,0.850385
1.76355,0.202138
1.81236,0.180479
1.20258,0.604417
0.231826,0.210305
0.679101,0.883431
1.23857,0.571783
0.609299,0.843567
0.775915,0.8946
0.397175,0.545848
0.354779,0.460945
0.296531,0.33976
0.741912,0.89601
0.445017,0.634082
0.226723,0.200778
0.529607,0.761954
0.377695,0.507445
0.884951,0.858082
0.665549,0.877914
0.719032,0.893813
0.375882,0.503813
1.25521,0.556821
0.450853,0.644142
0.587099,0.82476
0.395339,0.542279
0.426905,0.601828
0.685172,0.885568
0.504743,0.72857
0.584416,0.822282
0.441696,0.628281
0.353259,0.45782
0.231516,0.209724
1.94702,0.130582
0.541695,0.776841
0.831909,0.881338
0.460037,0.659631
0.582002,0.820014
0.414105,0.578158
1.19282,0.613302
0.884664,0.858233
1.2054,0.601848
1.41307,0.4225
0.45,0.642683
0.996545,0.784158
0.406312,0.56342
0.695864,0.888837
1.4094,0.425414
1.49621,0.359653
1.79332,0.18869
1.64079,0.266014
0.409309,0.569115
1.04484,0.745014
0.200284,0.153851
1.23903,0.571367
0.270792,0.286802
0.634301,0.861155
0.300428,0.347868
0.51626,0.744489
0.547824,0.784051
1.34187,0.481008
0.314214,0.376634
1.33872,0.483686
0.31386,0.375895
0.48473,0.699078
1.58118,0.302162
0.861515,0.869506
0.1975,0.149175
0.331641,0.413023
0.463499,0.665358
0.60866,0.843067
2.43926,0.0358458
0.688402,0.886622
0.876506,0.862396
0.398311,0.548047
0.680195,0.883831
0.886813,0.857103
1.09696,0.699913
1.44937,0.39429
1.10525,0.692558
0.338033,0.426326
0.890241,0.855272
1.49666,0.35933
0.496665,0.716941
0.797167,0.891078
0.514124,0.741597
0.52852,0.760571
0.725115,0.894655
0.568248,0.806407
0.62615,0.855835
0.491614,0.70948
0.404601,0.560152
1.45948,0.386643
0.142137,0.0693898
1.22685,0.582378
1.96848,0.123846
0.815007,0.886667
0.305534,0.358509
1.73042,0.21802
0.659514,0.87512
1.13963,0.661664
2.43869,0.0359024
0.823115,0.884246
0.398114,0.547667
0.787712,0.892884
2.06006,0.0984104
0.649263,0.869892
0.281543,0.308768
0.381045,0.514131
2.55859,0.0256662
0.730021,0.895197
0.511714,0.7383
0.914863,0.841157
1.09417,0.702386
0.847723,0.875397
0.88318,0.859005
0.374744,0.501528
0.677723,0.882917
1.85496,0.16319
1.33816,0.484161
0.269758,0.284704
0.963143,0.809115
0.423648,0.595871
1.1773,0.627436
1.35695,0.46829
0.903611,0.847813
0.519742,0.749148
0.990593,0.788748
0.32326,0.395534
0.637733,0.863276
0.476673,0.68657
0.756683,0.896061
0.485065,0.699592
1.14184,0.659665
0.751536,0.896162
0.545494,0.781337
0.492398,0.710648
0.506891,0.731598
0.575291,0.813521
0.773248,0.894903
1.40114,0.432023
0.992574,0.787226
0.382379,0.516786
1.32669,0.493966
1.46753,0.380616
1.05067,0.74009
0.994726,0.785566
0.40487,0.560667
0.654655,0.872718
2.1226,0.0838217
0.428189,0.604164
2.15158,0.0777463
1.26892,0.54457
0.741365,0.895988
0.647747,0.869067
0.239501,0.224882
0.66896,0.8794
1.29489,0.521592
0.800855,0.890272
0.719897,0.893945
0.627393,0.856672
0.450546,0.643616
1.31733,0.502033
0.778727,0.894246
1.52513,0.3393
0.764849,0.895647
0.212575,0.175124
2.20772,0.0671002
0.412827,0.575757
1.85014,0.165075
1.55861,0.316752
1.23482,0.575174
0.341368,0.433251
0.374657,0.501355
0.558004,0.795515
1.71943,0.223506
0.89926,0.850296
2.05983,0.098467
1.36711,0.459817
0.484052,0.698041
0.737454,0.895787
0.988752,0.790156
0.955414,0.814591
0.396061,0.543685
1.9742,0.122102
0.94612,0.82101
1.33647,0.485603
1.42257,0.415005
0.444484,0.633154
1.23248,0.577287
1.08058,0.71433
1.37316,0.454806
1.64272,0.264899
0.670201,0.879925
1.15561,0.647175
1.72339,0.221518
1.54132,0.328264
0.588629,0.826153
1.21898,0.589512
0.493413,0.712155
0.392335,0.536419
1.79308,0.188794
0.627488,0.856735
0.947964,0.819751
0.747854,0.896156
1.16564,0.638054
0.880079,0.860597
1.2168,0.591492
0.852821,0.873294
2.79791,0.0128862
0.516406,0.744686
0.935348,0.828214
0.652532,0.871626
0.861946,0.869311
0.677185,0.882714
0.391303,0.534399
0.858977,0.870638
0.749768,0.896167
1.37688,0.451746
0.741778,0.896005
0.519212,0.748444
0.887067,0.856969
0.595221,0.831991
0.592318,0.829453
0.314662,0.377571
1.11675,0.682279
0.894404,0.853004
1.14388,0.657817
0.849592,0.874636
0.386755,0.525453
1.12126,0.678238
0.879921,0.860678
0.759626,0.895948
0.716831,0.893462
0.967601,0.805903
0.7414,0.895989
0.445994,0.635777
1.34516,0.478223
1.69598,0.235578
1.18286,0.622369
1.04471,0.745124
0.670369,0.879995
0.631851,0.859597
1.49035,0.363874
0.94561,0.821357
0.975368,0.800214
1.11238,0.686197
1.31068,0.507799
2.24727,0.0604149
0.423488,0.595578
0.337091,0.424368
1.52402,0.34007
0.67053,0.880062
0.582635,0.820612
0.666391,0.878287
0.874535,0.863371
0.821973,0.884602
1.0946,0.702006
1.63652,0.268486
0.834645,0.880374
1.85067,0.164865
0.589448,0.826893
0.974048,0.80119
2.38305,0.0418506
1.14179,0.659717
1.0097,0.773813
1.04141,0.747894
1.40308,0.430467
1.20546,0.601793
1.32014,0.499608
0.815481,0.886533
1.37513,0.453181
1.1097,0.688591
1.0447,0.745134
0.520881,0.750656
1.06902,0.724382
1.30987,0.508504
0.733274,0.895489
1.05276,0.738324
2.0105,0.111534
0.293489,0.333443
0.518298,0.747225
0.533827,0.767252
0.989747,0.789396
2.53507,0.0274276
0.833905,0.880637
1.56829,0.310432
1.06709,0.726048
0.383394,0.518801
1.53515,0.332439
1.88173,0.15306
0.781313,0.89389
0.686403,0.885976
0.845868,0.87614
0.425226,0.598763
0.581197,0.81925
0.669893,0.879795
1.05003,0.740639
1.74773,0.209599
0.31388,0.375937
0.327236,0.403836
0.788639,0.892724
1.15959,0.643557
0.478488,0.689419
0.880561,0.860352
0.714998,0.89315
0.709169,0.892042
0.86307,0.868802
1.49938,0.357385
0.567183,0.805305
0.39518,0.54197
0.845618,0.876239
0.781009,0.893934
0.845855,0.876145
0.219954,0.188359
1.80311,0.184431
0.587773,0.825375
0.996722,0.78402
1.22552,0.583584
0.931995,0.830402
0.686815,0.886111
0.18849,0.134435
1.19797,0.608613
0.276686,0.298812
0.962816,0.809349
2.31729,0.0500592
0.294591,0.33573
0.534861,0.768533
1.50669,0.352187
0.241291,0.228322
1.10107,0.696275
1.73124,0.217614
0.384839,0.521665
1.50502,0.353365
1.77302,0.19778
2.26393,0.0577869
0.59963,0.835747
1.06195,0.730474
1.20439,0.602765
0.74051,0.89595
0.272719,0.290718
0.464249,0.66659
1.57253,0.307697
0.74619,0.896132
0.97673,0.799205
2.2785,0.0555747
1.53814,0.330407
1.60501,0.287301
3.4933,0.00155352
1.44666,0.396354
1.11893,0.680328
1.71456,0.225973
1.32659,0.494058
1.49132,0.363173
2.01882,0.109228
1.52993,0.336
1.69134,0.238027
0.930344,0.83147
1.28369,0.531462
0.916473,0.840178
0.731858,0.895368
1.42229,0.415226
1.26066,0.551936
0.791704,0.892168
0.529038,0.761231
0.498128,0.719076
0.798894,0.890708
0.806301,0.88898
2.58883,0.0235581
1.07025,0.723315
0.717456,0.893564
0.285017,0.315919
0.622199,0.853113
0.686202,0.88591
0.304369,0.356079
0.373419,0.498865
1.40238,0.431025
0.976893,0.799085
2.4071,0.0391747
1.3103,0.508133
1.33434,0.487418
0.972388,0.80241
1.47646,0.374005
0.564636,0.80264
0.669735,0.879729
1.05289,0.738212
1.7218,0.222311
1.20701,0.600389
1.09974,0.697453
1.79294,0.188857
0.855094,0.872328
0.686596,0.88604
1.22775,0.581562
0.358837,0.469263
1.97309,0.122438
1.26092,0.551712
0.986085,0.792185
1.37747,0.451257
0.942015,0.823786
0.776017,0.894587
1.40727,0.42711
1.34528,0.478115
0.61236,0.845923
0.434826,0.616119
0.669375,0.879577
0.456614,0.653908
0.647081,0.8687
0.751282,0.896163
1.12539,0.674525
1.30359,0.513978
1.15697,0.645936
0.42154,0.591991
0.787861,0.892859
1.37901,0.449992
0.863229,0.868729
0.27555,0.29649
1.21466,0.593431
0.749249,0.896166
1.72334,0.221538
0.850014,0.874463
0.472123,0.679348
1.06955,0.723922
0.891322,0.854688
2.04805,0.101458
1.32583,0.494712
0.715941,0.893313
0.654192,0.872482
0.470102,0.676105
1.64935,0.261104
1.72634,0.220043
0.781135,0.893916
0.868191,0.866428
1.86453,0.159508
1.71329,0.226616
1.35353,0.471165
1.56632,0.311711
1.00329,0.77889
1.13143,0.669079
0.680723,0.884022
1.2473,0.563926
0.97716,0.798886
1.29534,0.521202
0.557915,0.795418
0.413339,0.576719
0.920807,0.837508
1.42646,0.41196
1.06502,0.727837
2.55395,0.026005
0.781839,0.893814
1.81411,0.17974
0.77319,0.894909
0.701064,0.890202
1.87713,0.15476
0.999857,0.781579
0.371115,0.494222
0.4903,0.707516
0.675548,0.882085
0.74801,0.896158
1.02999,0.757373
1.90036,0.146329
2.53298,0.0275898
0.552474,0.789366
0.901535,0.849004
1.25398,0.557924
0.218534,0.185787
1.71628,0.225098
0.690907,0.887399
0.652179,0.871442
2.32071,0.0495975
1.79898,0.186217
0.684398,0.885307
0.918699,0.838812
0.0850473,0.0186779
1.14857,0.653572
1.20571,0.60157
0.912044,0.842856
0.405252,0.561395
0.471375,0.678151
1.26296,0.549886
0.253509,0.252161
0.574884,0.813118
1.81431,0.179656
0.670952,0.880238
0.335267,0.420575
0.349642,0.45037
0.367332,0.486569
1.24283,0.567943
0.913531,0.841962
1.45274,0.391731
1.37122,0.456416
0.895064,0.852639
0.629906,0.858336
0.458095,0.656391
0.205871,0.163396
0.554233,0.791343
0.535348,0.769135
1.02039,0.765225
0.674628,0.881725
0.722569,0.894326
1.3876,0.442968
0.646839,0.868566
0.553057,0.790024
1.85112,0.164691
1.44974,0.394009
0.240726,0.227234
0.809102,0.888269
0.655862,0.873328
1.46713,0.380915
1.17574,0.628862
0.297328,0.341417
0.706088,0.891384
0.400267,0.551828
0.766247,0.895546
0.605903,0.840885
1.01104,0.772747
0.93353,0.829404
0.353836,0.459006
0.826188,0.883262
0.891585,0.854546
1.95791,0.127123
0.567463,0.805596
1.99166,0.116913
1.55458,0.319411
1.83725,0.1702
1.16252,0.640895
0.727389,0.894921
1.14649,0.655459
0.622881,0.853589
0.929292,0.832147
1.11497,0.683874
0.39499,0.541601
0.313806,0.375781
1.55691,0.317867
0.917537,0.839527
0.728322,0.895023
1.08742,0.708339
0.554225,0.791334
1.71048,0.228051
1.19602,0.610382
0.860009,0.87018
0.11753,0.0432876
1.17892,0.625959
1.06417,0.72857
0.50918,0.734795
0.808015,0.888549
1.94966,0.129736
1.42269,0.414907
1.21947,0.589068
1.6353,0.269201
0.430662,0.608642
1.44944,0.394233
0.775087,0.894697
0.431994,0.611042
2.46409,0.0334578
2.00519,0.113028
0.380826,0.513696
1.06516,0.727713
0.214406,0.178378
1.59867,0.291197
0.391428,0.534643
0.639174,0.864146
1.36177,0.464263
1.21368,0.594326
0.155972,0.0867514
0.909666,0.844273
0.348086,0.447158
1.67331,0.247733
0.378041,0.508137
0.341577,0.433686
0.934184,0.828976
2.51952,0.0286544
2.23295,0.0627617
0.530684,0.763315
0.379163,0.510378
1.81235,0.180487
0.575272,0.813502
0.486936,0.70244
1.16934,0.634683
1.34399,0.47921
0.366197,0.484267
1.25732,0.554929
0.453793,0.649147
0.766557,0.895522
0.923707,0.835695
0.475792,0.68518
2.81737,0.0121716
0.781793,0.893821
1.52975,0.336127
0.637838,0.86334
1.06679,0.726311
0.818228,0.885735
0.559789,0.797459
0.666316,0.878254
0.491791,0.709744
1.05497,0.736438
0.394347,0.540348
1.06116,0.731152
0.569914,0.808117
0.869745,0.865691
0.169054,0.104831
1.03603,0.75238
0.405024,0.56096
0.963102,0.809144
2.07895,0.0937798
0.997679,0.783277
1.60076,0.289908
0.569655,0.807853
0.855786,0.87203
0.338423,0.427138
0.593316,0.830331
0.784581,0.893399
0.90546,0.846742
1.34521,0.478174
0.955469,0.814552
0.90533,0.846818
0.289803,0.325806
0.400211,0.551718
0.923134,0.836055
0.326258,0.401794
0.992844,0.787019
1.28524,0.530094
1.38637,0.443974
0.619516,0.85121
0.936951,0.827159
0.649123,0.869817
0.481201,0.693643
0.506547,0.731114
1.06175,0.730646
0.342648,0.435906
0.770555,0.895176
1.94537,0.131112
1.4707,0.378262
1.15384,0.648785
0.592021,0.82919
1.06331,0.729305
1.64201,0.265311
1.20761,0.599838
1.17385,0.630576
2.09401,0.0902307
0.794611,0.891604
1.08196,0.713128
1.84153,0.168486
0.640689,0.865047
0.261119,0.267297
1.20416,0.602977
0.489545,0.706383
0.319011,0.386658
1.05941,0.73265
1.10439,0.693324
2.20613,0.0673821
1.07637,0.718005
2.23223,0.0628814
1.81418,0.179711
2.26248,0.0580107
1.35326,0.471387
0.259869,0.264796
0.492306,0.710511
0.355163,0.461732
1.3352,0.486687
1.096,0.700762
0.436926,0.619861
0.219946,0.188344
1.14544,0.656408
2.08945,0.0912936
0.342145,0.434863
2.51945,0.0286602
1.31961,0.500067
0.500182,0.72205
1.16307,0.640395
1.6261,0.274603
2.0823,0.0929816
0.963658,0.808746
1.03732,0.751309
1.54201,0.327799
3.11957,0.00493313
1.89531,0.148129
1.17132,0.632887
0.59291,0.829975
0.740041,0.895928
1.10318,0.6944
1.67127,0.248846
0.968348,0.80536
0.605853,0.840845
1.71081,0.227882
1.46208,0.384691
1.26618,0.547012
0.792594,0.891999
0.921265,0.837223
0.684691,0.885406
1.15208,0.650382
2.16617,0.0748425
2.07601,0.0944891
0.968061,0.805569
2.62566,0.0212115
0.623034,0.853696
0.614554,0.847577
1.43711,0.403684
0.864487,0.868153
0.63223,0.859841
1.80464,0.183774
1.01876,0.766543
0.819638,0.885315
1.20583,0.60146
2.25234,0.0596044
1.64527,0.263433
0.506249,0.730696
0.864356,0.868213
1.16282,0.640619
1.16221,0.641174
1.46072,0.38571
0.817286,0.886012
1.12555,0.674374
0.196889,0.148156
1.08697,0.70873
1.46362,0.383533
0.207308,0.165885
1.30762,0.510462
0.553967,0.791045
2.23765,0.0619822
1.03619,0.752245
1.18394,0.621391
0.975542,0.800086
1.64492,0.263635
0.967095,0.806269
1.02824,0.758812
1.65916,0.255563
0.365444,0.482737
1.88946,0.150237
1.31893,0.500652
1.5313,0.335066
3.11097,0.00506365
0.391356,0.534503
1.14055,0.660836
0.66967,0.879702
0.304109,0.355537
1.44828,0.395118
1.59583,0.292957
1.06221,0.730249
0.854583,0.872547
0.227905,0.202973
0.637343,0.863039
1.19864,0.607997
0.443493,0.631427
0.676971,0.882632
0.355916,0.463279
1.31884,0.500729
0.671576,0.880496
0.401519,0.554239
0.433773,0.614237
2.19109,0.070107
1.60401,0.287911
1.42787,0.41086
0.535882,0.769793
0.38284,0.517701
0.505543,0.7297
0.368216,0.488361
1.608,0.285471
0.842457,0.877474
0.968956,0.804918
1.89872,0.146912
0.718161,0.893677
1.36341,0.462898
1.01474,0.769787
1.41588,0.420275
1.4599,0.386324
1.0526,0.738454
1.76924,0.199511
1.25841,0.553957
0.771669,0.895067
1.03068,0.756805
2.2588,0.0585855
3.22459,0.00357951
3.18629,0.00402526
0.86306,0.868806
1.6275,0.273774
2.79068,0.0131617
0.631529,0.85939
1.71234,0.227102
0.672378,0.880824
0.963547,0.808826
0.652909,0.871822
0.633571,0.860695
0.928422,0.832704
1.28041,0.534365
1.11022,0.688121
1.3134,0.505441
1.39965,0.433214
0.851921,0.873672
2.03198,0.105665
1.04809,0.74228
1.22744,0.581842
2.01003,0.111664
0.771314,0.895102
0.892011,0.854314
0.828678,0.88244
0.712685,0.892732
2.0177,0.109535
1.21186,0.595974
1.19277,0.613345
0.460546,0.660477
0.932962,0.829773
0.506848,0.731538
2.30296,0.0520347
1.00405,0.778289
0.394563,0.540768
0.797514,0.891005
0.652169,0.871436
1.20685,0.600535
0.326302,0.401887
0.558379,0.795925
1.30857,0.509633
2.11524,0.0854328
0.800126,0.890436
1.45492,0.390074
0.516164,0.74436
1.55677,0.317965
1.23496,0.575048
1.04932,0.741238
0.86704,0.866969
1.48087,0.370768
1.30367,0.513911
1.48212,0.369853
1.35034,0.47385
0.785563,0.893242
0.966254,0.806877
1.51933,0.343319
1.14708,0.654915
0.473336,0.681285
0.756334,0.896072
2.1853,0.071182
0.634824,0.861482
0.388307,0.528513
0.840043,0.878394
1.08311,0.712119
2.37836,0.0423917
1.22487,0.584173
0.671265,0.880368
